(147b,2105) (ce3,2105)
(1b1f,2437) (caf,2437)
(21,1f9) (61,1f9)
(b35,107f) (6fd,107f)
(b6b,2707) (43,2707)
(77f,124f) (8cf,124f)
(307,367) (22f,367)
(419,637) (d1,637)
(20f,2e1) (107,2e1)
(c9d,1321) (695,1321)
(67,6e3) (4b7,6e3)
(7ad,967) (1b5,967)
(245,487) (1cd,487)
(2209,25e5) (319,25e5)
(10ff,1457) (100f,1457)
(2cf,1f15) (74f,1f15)
(c5,323) (19d,323)
(b5,221) (fd,221)
(11dd,2339) (1321,2339)
(5b,8f) (5b,8f)
(493,1ba9) (29b,1ba9)
(b,d9) (83,d9)
(193,1ae7) (29b,1ae7)
(197,30d) (2b,30d)
(1357,1687) (1087,1687)
(3b,8f) (3b,8f)
(d1b,11f9) (1e7,11f9)
(607,6e3) (5a7,6e3)
(105,1c3) (8d,1c3)
(7d,69b) (305,69b)
(a45,1ccd) (16ed,1ccd)
(89f,1d45) (353,1d45)
(1aab,288b) (803,288b)
(6bf,8d7) (35f,8d7)
(199,1f1) (e5,1f1)
(83f,bb1) (bf,bb1)
(2af,385) (24f,385)
(dd5,1e43) (111d,1e43)
(17b,229) (a3,229)
(293,1057) (2b,1057)
(107,941) (6b3,941)
(7,85) (1f,85)
(d9,131) (49,131)
(11,23) (11,23)
(403,1751) (127f,1751)
(359,3b5) (269,3b5)
(1e85,20bf) (1ba5,20bf)
(a51,b33) (7f9,b33)
(16d,27b) (1d,27b)
(15d,39b) (15d,39b)
(110b,1dad) (2ff,1dad)
(4d,1e1) (65,1e1)
(15b,227) (1bb,227)
(b,143) (83,143)
(c8b,1d5f) (12d3,1d5f)
(37f,8e7) (6c7,8e7)
(10b,601) (453,601)
(43f,99d) (7ab,99d)
(d9,367) (49,367)
(4eb,6e3) (1a3,6e3)
(112d,1687) (725,1687)
(160f,2d8f) (df,2d8f)
(301,887) (4e1,887)
(6af,1aed) (10f,1aed)
(27b,2bf) (12b,2bf)
(319,3eb) (369,3eb)
(60d,171d) (a45,171d)
(151f,3515) (1027,3515)
(31,cd) (31,cd)
(1489,15b9) (1381,15b9)
(101,575) (161,575)
(d81,2165) (e7d,2165)
(b6b,1415) (c43,1415)
(d1,22f) (29,22f)
(203,629) (257,629)
(6f5,1165) (2bd,1165)
(e5d,10f7) (d55,10f7)
(207,553) (197,553)
(31,733) (211,733)
(327,71b) (517,71b)
(b4b,188b) (353,188b)
(23b,275) (73,275)
(74b,fc1) (733,fc1)
(26f,319) (20f,319)
(4e1,69b) (4b1,69b)
(fd,1c3) (75,1c3)
(247,39b) (1e7,39b)
